"","Plot_Name","Sample_Year","Live_BA","Dead_BA","Rock_Cover","Bare_Soil_Cover","Trampled","Event_Date_Txt","Deer_Impact","Protocol_Name"
"296","CHOH-0741",2017,2.34354,0.04647,"1-5","<1","<1",20170829,4,"2.3"
"297","CHOH-0741",2013,2.35228,0.11164,"1-5","5-25","<1",20130813,3,"2.0.1"
"298","CHOH-0775",2011,0.76898,NA,"<1","1-5","<1",20110630,NA,"2.0.1"
"299","CHOH-0775",2007,0.67017,NA,"<1","25-50","1-5",20070807,NA,"1.0"
"300","CHOH-0775",2019,0.78587,0.143,"<1","1-5","<1",20190521,4,""
"301","CHOH-0775",2015,0.79269,0.01651,"<1","<1","<1",20150625,3,"2.2"
"302","CHOH-0776",2018,1.55779,0.06763,"<1","5-25","1-5",20180815,4,"2.3"
"303","CHOH-0776",2006,0.94105,NA,"<1","<1","1-5",20060720,NA,"1.0"
"304","CHOH-0776",2014,1.46288,0.04641,"<1","5-25","<1",20140829,4,"2.1"
"305","CHOH-0776",2010,1.22946,NA,"<1","75-100","1-5",20100917,NA,"2.0.1"
"306","CHOH-0788",2010,1.04286,NA,"<1","5-25","<1",20100916,NA,"2.0.1"
"307","CHOH-0788",2006,1.00796,NA,"<1","5-25","1-5",20060712,NA,"1.0"
"308","CHOH-0788",2018,1.04711,0.18037,"<1","5-25","<1",20180921,4,"2.3"
"309","CHOH-0788",2014,1.04296,0.20551,"<1","1-5","1-5",20140829,4,"2.1"
"310","CHOH-0847",2013,2.29669,0.11259,"1-5","25-50","5-25",20130729,4,"2.0.1"
"311","CHOH-0847",2017,2.20209,0.30201,"<1","5-25","5-25",20170707,4,"2.3"
"312","CHOH-0847",2009,2.16317,NA,"1-5","5-25","1-5",20090626,NA,"2.0"
"313","CHOH-0921",2017,0.76999,0.05875,"<1","1-5","5-25",20170818,3,"2.3"
"314","CHOH-0921",2013,0.68012,0,"<1","1-5","<1",20130807,4,"2.0.1"
"315","CHOH-0921",2009,0.5823,NA,"<1","<1","<1",20090914,NA,"2.0"
"316","CHOH-0932",2007,1.36072,NA,"1-5","75-100","1-5",20070725,NA,"1.0"
"317","CHOH-0932",2019,1.46851,0.22151,"1-5","75-100","<1",20190702,5,""
"318","CHOH-0932",2015,1.53651,0.08675,"<1","75-100","1-5",20150805,5,"2.2"
"319","CHOH-0932",2011,1.48924,NA,"1-5","75-100","1-5",20110916,NA,"2.0.1"
"320","CHOH-0941",2008,2.18878,NA,"25-50","25-50","<1",20080709,NA,"1.0"
"321","CHOH-0941",2016,2.50394,0.09294,"5-25","75-100","<1",20160705,4,"2.2"
"322","CHOH-0941",2012,2.27638,NA,"5-25","50-75","1-5",20120706,NA,"2.0.1"
"323","CHOH-0942",2006,2.68579,NA,"1-5","<1","<1",20061012,NA,"1.0"
"324","CHOH-0942",2014,2.46458,0.28558,"1-5","50-75","<1",20140711,4,"2.1"
"325","CHOH-0942",2018,2.64395,0,"<1","50-75","1-5",20180809,4,"2.3"
"326","CHOH-0942",2010,2.77638,NA,"<1","75-100","<1",20100915,NA,"2.0.1"
"327","CHOH-0958",2008,4.01977,NA,"<1","75-100","<1",20080708,NA,"1.0"
"328","CHOH-0958",2012,4.15004,NA,"<1","75-100","<1",20120621,NA,"2.0.1"
"329","CHOH-0958",2016,4.11307,0.54906,"<1","75-100","<1",20160628,5,"2.2"
"330","CHOH-0961",2016,1.46785,0.10544,"<1","5-25","25-50",20160705,4,"2.2"
"331","CHOH-0961",2008,1.38757,NA,"<1","25-50","1-5",20080730,NA,"1.0"
"332","CHOH-0961",2012,1.44681,NA,"<1","5-25","5-25",20120810,NA,"2.0.1"
"333","CHOH-0964",2012,1.13578,NA,"<1","1-5","<1",20120813,NA,"2.0.1"
"334","CHOH-0964",2016,1.07562,0.18753,"<1","1-5","<1",20160628,4,"2.2"
"335","CHOH-0964",2008,1.10981,NA,"<1","5-25","<1",20080708,NA,"1.0"
"336","CHOH-0983",2006,3.05672,NA,"<1","<1","<1",20060731,NA,"1.0"
"337","CHOH-0983",2018,3.81595,0.01307,"<1","75-100","1-5",20180905,4,"2.3"
"338","CHOH-0983",2014,3.54119,0,"<1","50-75","5-25",20140711,4,"2.1"
"339","CHOH-0983",2010,3.27193,NA,"<1","5-25","<1",20100728,NA,"2.0.1"
"340","CHOH-0986",2011,2.50151,NA,"<1","50-75","<1",20110921,NA,"2.0.1"
"341","CHOH-0986",2015,2.69784,0.15334,"<1","25-50","<1",20150730,4,"2.2"
"342","CHOH-0986",2019,2.3531,0.60635,"<1","5-25","<1",20190607,3,""
"343","CHOH-0986",2007,3.00453,NA,"<1","50-75","1-5",20070710,NA,"1.0"
"344","CHOH-0989",2007,1.71747,NA,"<1","5-25","1-5",20070710,NA,"1.0"
"345","CHOH-0989",2019,1.66709,0.2235,"<1","50-75","<1",20190607,4,""
"346","CHOH-0989",2015,1.60269,0.21385,"<1","1-5","<1",20150709,4,"2.2"
"347","CHOH-0989",2011,1.53012,NA,"<1","5-25","1-5",20110921,NA,"2.0.1"
"348","CHOH-1009",2013,5.08977,0.87149,"<1","5-25","5-25",20130802,3,"2.0.1"
"349","CHOH-1009",2017,5.26518,0.89575,"5-25","25-50","<1",20170630,4,"2.3"
"350","CHOH-1009",2009,5.6087,NA,"<1","25-50","1-5",20090807,NA,"2.0"
"351","CHOH-1018",2018,2.86112,0,"5-25","25-50","1-5",20180716,4,"2.3"
"352","CHOH-1018",2014,2.62832,0.07793,"5-25","5-25","1-5",20140729,4,"2.1"
"353","CHOH-1018",2010,2.49268,NA,"5-25","1-5","<1",20100831,NA,"2.0.1"
"354","CHOH-1018",2006,2.13623,NA,"5-25","<1","<1",20061012,NA,"1.0"
"355","CHOH-1028",2008,5.11072,NA,"<1","5-25","1-5",20080725,NA,"1.0"
"356","CHOH-1028",2012,5.22225,NA,"<1","<1","<1",20120719,NA,"2.0.1"
"357","CHOH-1028",2016,5.41738,0,"<1","1-5","5-25",20160721,4,"2.2"
"358","CHOH-1036",2017,0.46326,0,"<1","25-50","<1",20170628,3,"2.3"
"359","CHOH-1036",2013,0.79176,0.25168,"<1","50-75","5-25",20130724,3,"2.0.1"
"360","CHOH-1036",2009,1.03677,NA,"<1","5-25","5-25",20090708,NA,"2.0"
"361","CHOH-1044",2013,1.8262,0.19317,"<1","1-5","1-5",20130529,4,"2.0.1"
"362","CHOH-1044",2009,2.29362,NA,"<1","25-50","1-5",20090708,NA,"2.0"
"363","CHOH-1044",2017,2.06193,0.19226,"<1","1-5","1-5",20170628,4,"2.3"
"364","CHOH-1045",2010,0.20125,NA,"<1","5-25","1-5",20100823,NA,"2.0.1"
"365","CHOH-1045",2018,0.43049,0.09873,"<1","5-25","1-5",20180726,4,"2.3"
"366","CHOH-1045",2006,0.01517,NA,"<1","25-50","<1",20060630,NA,"1.0"
"367","CHOH-1045",2014,0.35511,0,"<1","1-5","1-5",20140618,3,"2.1"
"368","CHOH-1055",2014,1.45476,0.0674,"<1","5-25","1-5",20140701,3,"2.1"
"369","CHOH-1055",2018,1.67628,0.12757,"<1","5-25","<1",20180719,4,"2.3"
"370","CHOH-1055",2006,0.6359,NA,"<1","<1","5-25",20060724,NA,"1.0"
"371","CHOH-1055",2010,1.18157,NA,"<1","5-25","<1",20100920,NA,"2.0.1"
"372","CHOH-1063",2014,1.42468,0,"<1","1-5","1-5",20140701,3,"2.1"
"373","CHOH-1063",2018,1.50812,0.10309,"<1","5-25","1-5",20180726,4,"2.3"
"374","CHOH-1063",2006,0.86942,NA,"<1","<1","1-5",20060724,NA,"1.0"
"375","CHOH-1063",2010,1.30773,NA,"<1","1-5","1-5",20100823,NA,"2.0.1"
"376","CHOH-1081",2015,2.85399,0.20268,"<1","5-25","<1",20150707,5,"2.2"
"377","CHOH-1081",2007,2.71229,NA,"<1","50-75","1-5",20070806,NA,"1.0"
"378","CHOH-1081",2011,2.84334,NA,"<1","50-75","<1",20110920,NA,"2.0.1"
"379","CHOH-1081",2019,2.95251,0,"<1","5-25","<1",20190531,4,""
"380","CHOH-1111",2019,1.74931,0.43999,"<1","5-25","<1",20190703,4,""
"381","CHOH-1111",2015,2.01533,0.05309,"<1","5-25","1-5",20150707,4,"2.2"
"382","CHOH-1111",2011,1.86925,NA,"<1","25-50","<1",20110706,NA,"2.0.1"
"383","CHOH-1111",2007,1.78214,NA,"<1","50-75","<1",20070730,NA,"1.0"
"384","CHOH-1124",2016,2.96881,0.1858,"<1","50-75","1-5",20160711,5,"2.2"
"385","CHOH-1124",2008,2.73737,NA,"<1","50-75","1-5",20080721,NA,"1.0"
"386","CHOH-1124",2012,2.84846,NA,"<1","50-75","<1",20120803,NA,"2.0.1"
"387","CHOH-1136",2007,1.79387,NA,"5-25","75-100","<1",20070724,NA,"1.0"
"388","CHOH-1136",2015,1.58715,0.3169,"1-5","75-100","<1",20150617,5,"2.2"
"389","CHOH-1136",2019,1.6495,0.31491,"5-25","75-100","<1",20190515,5,""
"390","CHOH-1136",2011,1.71545,NA,"5-25","75-100","<1",20110915,NA,"2.0.1"
"391","CHOH-1143",2015,2.59489,0.13592,"<1","75-100","<1",20150617,5,"2.2"
"392","CHOH-1143",2007,2.45804,NA,"1-5","75-100","<1",20070724,NA,"1.0"
"393","CHOH-1143",2011,2.49456,NA,"<1","75-100","<1",20110915,NA,"2.0.1"
"394","CHOH-1143",2019,2.38989,0.19135,"<1","75-100","<1",20190515,5,""
"395","CHOH-1147",2018,3.00394,0.10391,"<1","5-25","1-5",20180703,4,"2.3"
"396","CHOH-1147",2010,2.59733,NA,"<1","<1","<1",20100817,NA,"2.0.1"
"397","CHOH-1147",2014,2.93668,0.02138,"<1","1-5","1-5",20140729,4,"2.1"
"398","CHOH-1148",2007,0.2768,NA,"<1","5-25","5-25",20070703,NA,"1.0"
"399","CHOH-1148",2019,1.01864,0.0438,"<1","1-5","1-5",20190606,4,""
"400","CHOH-1148",2015,0.88467,0.00882,"<1","1-5","1-5",20150716,4,"2.2"
"401","CHOH-1148",2011,0.60307,NA,"<1","25-50","1-5",20110824,NA,"2.0.1"
"402","CHOH-1173",2015,2.09654,0.1803,"<1","1-5","1-5",20150612,5,"2.2"
"403","CHOH-1173",2019,2.63419,0.10459,"<1","1-5","<1",20190610,4,""
"404","CHOH-1173",2011,2.44945,NA,"<1","1-5","1-5",20110819,NA,"2.0.1"
"405","CHOH-1183",2014,2.86267,0,"<1","25-50","1-5",20140617,4,"2.1"
"406","CHOH-1183",2006,3.25801,NA,"<1","<1","1-5",20060725,NA,"1.0"
"407","CHOH-1183",2010,2.61896,NA,"<1","<1","<1",20100607,NA,"2.0.1"
"408","CHOH-1183",2018,2.1791,0,"<1","50-75","1-5",20180612,3,"2.3"
"409","CHOH-1191",2018,1.27173,0.08966,"<1","5-25","<1",20180628,4,"2.3"
"410","CHOH-1191",2010,1.24572,NA,"<1","<1","<1",20100607,NA,"2.0.1"
"411","CHOH-1191",2010,1.24572,NA,"<1","<1","<1",20100607,NA,"2.0.1"
"412","CHOH-1191",2006,1.11271,NA,"<1","5-25","<1",20060725,NA,"1.0"
"413","CHOH-1191",2014,1.31109,0.01854,"<1","<1","1-5",20140617,3,"2.1"
"414","CHOH-1196",2012,1.29797,NA,"<1","1-5","<1",20120815,NA,"2.0.1"
"415","CHOH-1196",2008,1.22251,NA,"<1","1-5","<1",20080701,NA,"1.0"
"416","CHOH-1196",2016,1.35641,0.09752,"<1","<1","5-25",20160524,4,"2.2"
"417","CHOH-1201",2006,1.2658,NA,"<1","<1","<1",20060725,NA,"1.0"
"418","CHOH-1201",2014,1.091,0.56321,"<1","1-5","1-5",20140616,3,"2.1"
"419","CHOH-1201",2010,1.11785,NA,"<1","1-5","<1",20100610,NA,"2.0.1"
"420","CHOH-1201",2018,1.18218,0.416,"<1","<1","1-5",20180730,4,"2.3"
"421","CHOH-1265",2013,1.25095,0.06379,"<1","1-5","5-25",20130726,3,"2.0.1"
"422","CHOH-1265",2017,1.31302,0,"<1","25-50","<1",20170720,3,"2.3"
"423","CHOH-1265",2009,1.27909,NA,"<1","5-25","<1",20090720,NA,"2.0"
"424","CHOH-1328",2014,4.29873,0.12106,"<1","75-100","5-25",20140606,5,"2.1"
"425","CHOH-1328",2006,4.20997,NA,"1-5","1-5","<1",20060815,NA,"1.0"
"426","CHOH-1328",2010,4.19017,NA,"<1","75-100","1-5",20100526,NA,"2.0.1"
"427","CHOH-1328",2018,4.58646,0.03461,"<1","75-100","5-25",20180904,4,"2.3"
"428","CHOH-1338",2018,1.70498,0.11355,"25-50","25-50","<1",20181012,2,"2.3"
"429","CHOH-1338",2006,1.61062,NA,"25-50","<1","1-5",20060814,NA,"1.0"
"430","CHOH-1338",2014,1.72369,0.02835,"25-50","25-50","<1",20140822,4,"2.1"
"431","CHOH-1338",2010,1.66593,NA,"25-50","50-75","1-5",20101001,NA,"2.0.1"
"432","CHOH-1342",2018,1.24166,0.1485,"5-25","25-50","5-25",20180926,4,"2.3"
"433","CHOH-1342",2010,1.16084,NA,"1-5","5-25","<1",20100630,NA,"2.0.1"
"434","CHOH-1342",2014,1.15419,0.15222,"5-25","5-25","1-5",20140826,3,"2.1"
"435","CHOH-1342",2006,1.12052,NA,"5-25","25-50","<1",20060922,NA,"1.0"
"436","CHOH-1350",2008,1.00962,NA,"25-50","5-25","5-25",20080619,NA,"1.0"
"437","CHOH-1350",2012,0.96962,NA,"25-50","5-25","5-25",20120713,NA,"2.0.1"
"438","CHOH-1350",2016,1.06573,0.19634,"25-50","5-25","5-25",20160516,3,"2.2"
"439","CHOH-1366",2017,2.44181,0.61706,"<1","25-50","<1",20170823,3,"2.3"
"440","CHOH-1366",2013,2.75821,0.17276,"1-5","25-50","<1",20130917,4,"2.0.1"
"441","CHOH-1366",2009,2.64141,NA,"1-5","5-25","<1",20090724,NA,"2.0"
"442","CHOH-1388",2012,0.92256,NA,"1-5","5-25","1-5",20120720,NA,"2.0.1"
"443","CHOH-1388",2008,0.93881,NA,"5-25","5-25","<1",20080815,NA,"1.0"
"444","CHOH-1388",2016,0.4984,0.51436,"1-5","<1","<1",20160425,4,"2.2"
"445","GWMP-0003",2009,2.7284,NA,"<1","5-25","1-5",20090709,NA,"2.0"
"446","GWMP-0003",2017,2.91524,0,"<1","1-5","<1",20170505,5,"2.3"
"447","GWMP-0003",2013,2.76152,0.18525,"1-5","1-5","1-5",20130703,4,"2.0.1"
"448","GWMP-0045",2011,3.30151,NA,"1-5","75-100","<1",20110524,NA,"2.0.1"
"449","GWMP-0045",2007,3.24121,NA,"<1","50-75","<1",20070607,NA,"1.0"
"450","GWMP-0045",2019,3.02216,0.61301,"<1","75-100","5-25",20190417,5,""
"451","GWMP-0045",2015,3.13293,0.56299,"<1","75-100","5-25",20150821,5,"2.2"
"452","GWMP-0054",2019,2.27226,0.03914,"<1","75-100","<1",20190503,5,""
"453","GWMP-0054",2015,2.28751,0.03071,"<1","75-100","<1",20150821,5,"2.2"
"454","GWMP-0054",2007,2.03739,NA,"<1","75-100","<1",20070612,NA,"1.0"
"455","GWMP-0054",2011,2.17229,NA,"<1","75-100","<1",20110620,NA,"2.0.1"
"456","GWMP-0055",2011,2.39895,NA,"1-5","75-100","<1",20110525,NA,"2.0.1"
"457","GWMP-0055",2019,2.50593,0.22229,"1-5","75-100","<1",20190514,5,""
"458","GWMP-0055",2015,2.57393,0.01629,"<1","75-100","<1",20150427,5,"2.2"
"459","GWMP-0055",2007,2.36482,NA,"1-5","75-100","<1",20070607,NA,"1.0"
"460","GWMP-0062",2014,1.51135,0.20282,"<1","75-100","<1",20140709,5,"2.1"
"461","GWMP-0062",2010,1.45346,NA,"<1","75-100","<1",20100629,NA,"2.0.1"
"462","GWMP-0062",2006,1.53393,NA,"1-5","<1","<1",20060810,NA,"1.0"
"463","GWMP-0062",2018,1.63825,0,"<1","75-100","<1",20180904,5,"2.3"
"464","GWMP-0072",2019,1.11067,0.18566,"25-50","5-25","<1",20190826,4,""
"465","GWMP-0072",2007,1.13434,NA,"25-50","5-25","<1",20070606,NA,"1.0"
"466","GWMP-0072",2011,1.09126,NA,"25-50","1-5","<1",20110729,NA,"2.0.1"
"467","GWMP-0072",2015,1.18484,0.092,"25-50","5-25","<1",20150508,4,"2.2"
"468","GWMP-0080",2008,1.26659,NA,"50-75","25-50","<1",20080711,NA,"1.0"
"469","GWMP-0080",2016,1.42411,0.00833,"50-75","5-25","1-5",20160602,4,"2.2"
"470","GWMP-0080",2012,1.31398,NA,"50-75","75-100","<1",20120718,NA,"2.0.1"
"471","GWMP-0094",2014,2.80602,0.26668,"1-5","75-100","<1",20140606,4,"2.1"
"472","GWMP-0094",2010,2.37832,NA,"1-5","75-100","<1",20100716,NA,"2.0.1"
"473","GWMP-0094",2018,2.52091,0.21985,"1-5","75-100","1-5",20180706,5,"2.3"
"474","GWMP-0094",2006,2.24329,NA,"<1","<1","<1",20060810,NA,"1.0"
"475","GWMP-0008",2019,3.95506,0,"<1","25-50","<1",20190807,4,""
"476","GWMP-0008",2011,3.64526,NA,"<1","25-50","<1",20110804,NA,"2.0.1"
"477","GWMP-0008",2007,3.47139,NA,"<1","5-25","<1",20070718,NA,"1.0"
"478","GWMP-0008",2015,3.76199,0,"<1","50-75","<1",20150522,5,"2.2"
"479","GWMP-0019",2011,2.44894,NA,"5-25","75-100","1-5",20110811,NA,"2.0.1"
"480","GWMP-0019",2007,2.15099,NA,"5-25","75-100","1-5",20070709,NA,"1.0"
"481","GWMP-0019",2015,2.58888,0.12181,"5-25","75-100","<1",20150522,3,"2.2"
"482","GWMP-0019",2019,2.59046,0.17775,"5-25","75-100","<1",20190425,5,""
"483","GWMP-0057",2007,1.63313,NA,"<1","75-100","<1",20070718,NA,"1.0"
"484","GWMP-0057",2015,1.48637,0.65427,"<1","75-100","1-5",20150715,5,"2.2"
"485","GWMP-0057",2011,1.76394,NA,"<1","75-100","<1",20110526,NA,"2.0.1"
"486","GWMP-0057",2019,1.60037,0.33289,"<1","75-100","<1",20190830,5,""
"487","GWMP-0058",2015,1.76126,0.04139,"<1","75-100","<1",20150715,4,"2.2"
"488","GWMP-0058",2019,1.97849,0.01956,"<1","75-100","<1",20190830,5,""
"489","GWMP-0058",2007,1.60555,NA,"<1","75-100","<1",20070705,NA,"1.0"
"490","GWMP-0058",2011,1.57403,NA,"<1","75-100","<1",20110809,NA,"2.0.1"
"491","GWMP-0059",2015,4.0958,0.1672,"<1","<1","<1",20150611,3,"2.2"
"492","GWMP-0059",2011,4.05807,NA,"<1","1-5","1-5",20110809,NA,"2.0.1"
"493","GWMP-0059",2007,4.05755,NA,"<1","1-5","1-5",20070705,NA,"1.0"
"494","GWMP-0059",2019,3.94996,0.30818,"<1","1-5","<1",20190807,3,""
"495","GWMP-0086",2010,1.48668,NA,"<1","75-100","<1",20100702,NA,"2.0.1"
"496","GWMP-0086",2018,1.52737,0.22465,"<1","75-100","<1",20180531,5,"2.3"
"497","GWMP-0086",2014,1.35873,0.23601,"<1","75-100","<1",20140522,5,"2.1"
"498","GWMP-0086",2006,1.41154,NA,"<1","<1","<1",20060922,NA,"1.0"
"499","GWMP-0139",2012,3.48907,NA,"<1","50-75","<1",20120625,NA,"2.0.1"
"500","GWMP-0139",2008,3.63414,NA,"<1","50-75","<1",20080702,NA,"1.0"
"501","GWMP-0139",2016,3.66357,0.00801,"<1","50-75","<1",20160510,4,"2.2"
"502","GWMP-0144",2009,3.04355,NA,"<1","50-75","<1",20090701,NA,"2.0"
"503","GWMP-0144",2013,3.18864,0.04361,"<1","50-75","<1",20130614,4,"2.0.1"
"504","GWMP-0144",2017,3.32299,0.03173,"<1","75-100","<1",20170428,5,"2.3"
"505","GWMP-0145",2012,2.55734,NA,"<1","75-100","1-5",20120615,NA,"2.0.1"
"506","GWMP-0145",2016,2.62354,0.14608,"<1","50-75","1-5",20160510,4,"2.2"
"507","GWMP-0145",2008,2.31912,NA,"<1","50-75","<1",20080702,NA,"1.0"
"508","GWMP-0147",2017,1.95639,0.18604,"1-5","25-50","1-5",20170428,4,"2.3"
"509","GWMP-0147",2009,1.96299,NA,"25-50","25-50","1-5",20090701,NA,"2.0"
"510","GWMP-0147",2013,1.91624,0.1392,"5-25","50-75","25-50",20130614,3,"2.0.1"
"511","GWMP-0173",2016,2.51909,0.01348,"<1","50-75","5-25",20160518,4,"2.2"
"512","GWMP-0173",2008,2.21179,NA,"<1","50-75","5-25",20080715,NA,"1.0"
"513","GWMP-0173",2012,2.316,NA,"<1","50-75","5-25",20120606,NA,"2.0.1"
"514","GWMP-0194",2009,0.89683,NA,"<1","50-75","1-5",20090806,NA,"2.0"
"515","GWMP-0194",2017,1.18865,0.14387,"<1","75-100","5-25",20170905,5,"2.3"
"516","GWMP-0194",2013,0.9848,0.15927,"<1","75-100","5-25",20130531,3,"2.0.1"
"517","GWMP-0207",2014,2.98303,0.10463,"<1","1-5","<1",20140609,4,"2.1"
"518","GWMP-0207",2010,2.90927,NA,"<1","5-25","<1",20100816,NA,"2.0.1"
"519","GWMP-0207",2018,2.82124,0.40235,"<1","1-5","1-5",20180608,3,"2.3"
"520","GWMP-0207",2006,3.19032,NA,"<1","<1","<1",20060810,NA,"1.0"
"521","GWMP-0208",2018,1.77436,0.72737,"<1","5-25","1-5",20180608,3,"2.3"
"522","GWMP-0208",2010,2.21562,NA,"<1","1-5","5-25",20100802,NA,"2.0.1"
"523","GWMP-0208",2006,2.54088,NA,"<1","<1","<1",20060711,NA,"1.0"
"524","GWMP-0208",2014,2.17634,0.45026,"<1","5-25","5-25",20140609,3,"2.1"
"525","GWMP-0253",2007,1.75562,NA,"<1","1-5","1-5",20070924,NA,"1.0"
"526","GWMP-0253",2015,1.44764,0.80687,"<1","<1","<1",20150506,2,"2.2"
"527","GWMP-0253",2019,1.05425,0.74714,"1-5","5-25","1-5",20190510,2,""
"528","GWMP-0253",2011,1.57104,NA,"<1","<1","<1",20110627,NA,"2.0.1"
"529","GWMP-0254",2011,1.75625,NA,"<1","1-5","<1",20110624,NA,"2.0.1"
"530","GWMP-0254",2007,1.74942,NA,"<1","1-5","<1",20070918,NA,"1.0"
"531","GWMP-0254",2019,1.81537,0.16969,"<1","5-25","<1",20190520,3,""
"532","GWMP-0254",2015,1.6028,0.33475,"<1","1-5","<1",20150515,3,"2.2"
"533","GWMP-0256",2007,1.28346,NA,"<1","<1","<1",20070918,NA,"1.0"
"534","GWMP-0256",2019,1.01411,0.19943,"<1","1-5","5-25",20190520,4,""
"535","GWMP-0256",2015,1.14236,0.09386,"<1","1-5","1-5",20150515,3,"2.2"
"536","GWMP-0256",2011,1.45771,NA,"<1","<1","<1",20110705,NA,"2.0.1"
"537","GWMP-0286",2008,3.37214,NA,"<1","<1","1-5",20081002,NA,"1.0"
"538","GWMP-0286",2012,3.53597,NA,"<1","5-25","5-25",20120604,NA,"2.0.1"
"539","GWMP-0286",2016,2.77426,0.98275,"<1","5-25","5-25",20160811,2,"2.2"
"540","GWMP-0314",2006,2.40961,NA,"<1","<1","<1",20060627,NA,"1.0"
"541","GWMP-0314",2014,2.68048,0.39258,"<1","75-100","<1",20140519,4,"2.1"
"542","GWMP-0314",2018,2.65104,0.38244,"<1","75-100","<1",20180423,4,"2.3"
"543","GWMP-0314",2010,2.47536,NA,"<1","75-100","<1",20100524,NA,"2.0.1"
"544","GWMP-0320",2016,3.13479,0.11045,"<1","50-75","1-5",20160513,3,"2.2"
"545","GWMP-0320",2012,2.95214,NA,"<1","1-5","50-75",20120604,NA,"2.0.1"
"546","GWMP-0320",2008,2.8175,NA,"<1","50-75","1-5",20080718,NA,"1.0"
"547","HAFE-0005",2017,1.6087,0.09621,"50-75","1-5","<1",20170824,2,"2.3"
"548","HAFE-0005",2009,1.55498,NA,"75-100","5-25","<1",20090825,NA,"2.0"
"549","HAFE-0005",2013,1.63074,0.0095,"50-75","5-25","<1",20130808,4,"2.0.1"
"550","HAFE-0009",2016,1.09211,0.53405,"1-5","1-5","<1",20160722,5,"2.2"
"551","HAFE-0009",2012,0.93619,NA,"1-5","25-50","<1",20120807,NA,"2.0.1"
"552","HAFE-0009",2008,1.25822,NA,"1-5","50-75","<1",20080916,NA,"1.0"
"553","HAFE-0021",2012,2.18268,NA,"25-50","75-100","<1",20120807,NA,"2.0.1"
"554","HAFE-0021",2008,2.21198,NA,"50-75","75-100","<1",20080903,NA,"1.0"
"555","HAFE-0021",2016,2.29875,0.24246,"25-50","50-75","<1",20160708,5,"2.2"
"556","HAFE-0028",2008,1.40922,NA,"25-50","75-100","<1",20080903,NA,"1.0"
"557","HAFE-0028",2016,1.32484,0.5987,"1-5","50-75","<1",20160708,5,"2.2"
"558","HAFE-0028",2012,1.4722,NA,"1-5","75-100","<1",20121001,NA,"2.0.1"
"559","HAFE-0030",2006,1.46428,NA,"5-25","25-50","1-5",20061010,NA,"1.0"
"560","HAFE-0030",2018,1.80037,0,"1-5","25-50","5-25",20180912,4,"2.3"
"561","HAFE-0030",2010,1.71797,NA,"1-5","25-50","1-5",20100901,NA,"2.0.1"
"562","HAFE-0030",2014,1.71902,0.09057,"<1","25-50","1-5",20140804,4,"2.1"
"563","HAFE-0039",2014,1.87772,0.27219,"25-50","25-50","<1",20140717,4,"2.1"
"564","HAFE-0039",2010,1.68648,NA,"25-50","75-100","<1",20100915,NA,"2.0.1"
"565","HAFE-0039",2018,1.73453,0.30567,"25-50","25-50","<1",20180907,4,"2.3"
"566","HAFE-0039",2006,1.69398,NA,"25-50","<1","<1",20061011,NA,"1.0"
"567","HAFE-0047",2009,2.06552,NA,"5-25","25-50","1-5",20090914,NA,"2.0"
"568","HAFE-0047",2013,1.93928,0.3147,"25-50","50-75","1-5",20130822,4,"2.0.1"
"569","HAFE-0047",2017,2.01594,0.06221,"5-25","25-50","<1",20170427,5,"2.3"
"570","HAFE-0061",2010,1.11374,NA,"5-25","75-100","<1",20100609,NA,"2.0.1"
"571","HAFE-0061",2014,1.30429,0.02042,"1-5","75-100","<1",20140717,5,"2.1"
"572","HAFE-0061",2018,1.49319,0.01918,"1-5","75-100","<1",20181001,5,"2.3"
"573","HAFE-0061",2006,1.05433,NA,"5-25","<1","<1",20060727,NA,"1.0"
"574","HAFE-0074",2006,1.00004,NA,"25-50","<1","1-5",20060726,NA,"1.0"
"575","HAFE-0074",2014,0.98906,0.1596,"25-50","5-25","<1",20140725,4,"2.1"
"576","HAFE-0074",2018,1.03875,0.09866,"25-50","5-25","<1",20180928,4,"2.3"
"577","HAFE-0074",2010,1.10496,NA,"25-50","5-25","<1",20100809,NA,"2.0.1"
"578","HAFE-0118",2018,1.72601,0.12496,"5-25","50-75","<1",20180919,4,"2.3"
"579","HAFE-0118",2014,1.86489,0.25549,"5-25","50-75","1-5",20140722,4,"2.1"
"580","HAFE-0118",2006,1.48825,NA,"5-25","<1","<1",20061005,NA,"1.0"
"581","HAFE-0118",2010,1.7724,NA,"25-50","75-100","<1",20100908,NA,"2.0.1"
"582","HAFE-0154",2006,1.74255,NA,"<1","<1","<1",20061010,NA,"1.0"
"583","HAFE-0154",2018,1.62764,0.77851,"<1","5-25","<1",20180918,4,"2.3"
"584","HAFE-0154",2014,1.97281,0.3256,"<1","25-50","1-5",20140707,3,"2.1"
"585","HAFE-0154",2010,1.90514,NA,"<1","25-50","<1",20100901,NA,"2.0.1"
"586","HAFE-0160",2008,2.18133,NA,"1-5","50-75","<1",20080813,NA,"1.0"
"587","HAFE-0160",2016,2.48415,0.10867,"1-5","25-50","<1",20160706,4,"2.2"
"588","HAFE-0160",2012,2.30907,NA,"1-5","25-50","<1",20120620,NA,"2.0.1"
"589","HAFE-0161",2009,2.44561,NA,"5-25","50-75","<1",20090828,NA,"2.0"
